160,160,Bazzi,male,22,person,US,n/a,n/a,Dearborn,n/a,,
161,161,Felix Jaehn,male,25,person,DE,n/a,n/a,Hamburg,n/a,,
162,162,Beyoncé,female,38,person,US,n/a,n/a,Houston,n/a,,
163,163,Daya,female,21,person,US,n/a,n/a,Pittsburgh,n/a,,
164,164,Normani,female,24,person,US,n/a,n/a,Atlanta,n/a,,
165,165,Lunay,male,20,person,PR,n/a,n/a,Corozal,n/a,,
166,166,Henrique & Juliano,mixed,12,group,BR,n/a,n/a,n/a,n/a,,
167,167,Romeo Santos,male,39,person,US,n/a,n/a,n/a,The Bronx,,
168,168,Grey,male,54,person,US,n/a,n/a,,,,
169,169,Meghan Trainor,female,26,person,US,n/a,n/a,n/a,n/a,,
170,170,Lil Yachty,male,22,person,US,n/a,n/a,Mableton,n/a,,
171,171,Danny Ocean,male,28,person,US,n/a,n/a,Caracas,n/a,,
172,172,Macklemore,male,37,person,US,n/a,n/a,Seattle,n/a,,
173,173,Rae Sremmurd,mixed,7,group,US,n/a,n/a,Tupelo,n/a,,
174,174,2 Chainz,male,43,person,US,n/a,n/a,College Park,n/a,,
175,175,Feid,male,27,person,CO,n/a,n/a,Medellín,n/a,,
176,176,Bonez MC,male,35,person,DE,n/a,n/a,Hamburg,n/a,,
177,177,Panic! At The Disco,mixed,16,group,US,n/a,n/a,Las Vegas,n/a,,
178,178,benny blanco,male,32,person,US,n/a,n/a,Reston,n/a,,
179,179,Bryson Tiller,male,27,person,US,n/a,n/a,Louisville,n/a,,
180,180,Tainy,male,30,person,PR,n/a,n/a,San Juan,n/a,,
181,181,Lukas Graham,mixed,9,group,DK,n/a,n/a,Copenhagen,n/a,,
182,182,Justin Timberlake,male,39,person,US,n/a,n/a,Memphis,n/a,,
183,183,Mark Ronson,male,44,person,GB,n/a,n/a,n/a,St John's Wood,,
184,184,Bradley Cooper,male,45,person,US,n/a,n/a,Philadelphia,n/a,,
185,185,Wiz Khalifa,male,32,person,US,n/a,n/a,Minot,n/a,,
186,186,Brytiago,male,28,person,PR,n/a,n/a,Carolina,n/a,,
187,187,Miley Cyrus,other,27,person,,Toluca Lake,n/a,Nashville,n/a,,
188,188,Dimelo Flow,male,31,person,PA,n/a,n/a,n/a,n/a,,
189,189,Tove Lo,female,32,person,SE,n/a,n/a,Stockholm,n/a,,
190,190,Troye Sivan,male,25,person,AU,n/a,n/a,Johannesburg,n/a,,
191,191,Sfera Ebbasta,male,27,person,IT,n/a,n/a,n/a,n/a,,
192,192,ROSALÍA,female,26,person,ES,n/a,n/a,n/a,n/a,,
193,193,Gusttavo Lima,male,30,person,BR,n/a,n/a,,,,
194,194,Mau y Ricky,mixed,0,group,VE,n/a,n/a,,,,
195,195,Meek Mill,male,33,person,US,n/a,n/a,Philadelphia,n/a,,
196,196,Pedro Capó,male,39,person,PR,n/a,n/a,San Juan,n/a,,
197,197,One Direction,mixed,10,group,GB,n/a,n/a,London,n/a,,
198,198,Wesley Safadão,male,31,person,BR,n/a,n/a,Fortaleza,n/a,,
199,199,YNW Melly,male,21,person,US,n/a,n/a,,,,
200,200,MC Kevinho,male,21,person,BR,n/a,n/a,Campinas,n/a,,
201,201,Samra,male,25,person,DE,n/a,n/a,n/a,n/a,,
202,202,Little Mix,mixed,8,group,GB,n/a,n/a,London,n/a,,
